registration, trailer_type,year,built_for,model_no,chassis_number,wip,mtm_gcm,gvw_atm,tare,brake_valves_type,suspension_type_and_component_part_no,axle,rare_suspension,rare_axle,hub,bearing_inner,bearing_outer,seal,drum,shoe_kit,brake_size,brake_linning,brake_shoe_type,s_cam_bush_kit,s_cam_size_and_part_no,brake_booster_type_and_size,tyre_type_and_size,wheel_type_and_size,landing_legs_type_and_component_part_no,king_pin_type_and_serial_no,rubplate_type_and_component_no,tow_eye_type_and_component_no,draw_bar_type_and_component_no,air_tanks_size_and_type_and_part_no,hoist_type_and_part_no,suspension_cylinders_component_no,ballrace_type_and_part_no,fith_wheel_type_and_part_no,ramps_size_and_component_no,ramps_cylinders,widening_box_component_no,widening_box_cylinder,widening_wings_component_no,widening_wings_cylinder,gooseneck_component_no,gooseneck_cylinder,powerpack, draw_bar_bushes
985QTS (Aust Rego),4A Deck Widener dropbed - Aust Longer,2011,TJ Clark,MTE49/11,7A9BP60ABB1001049,1118,,"60,000kg","14,600kg",,"HENDRICKSON HT250US.25 (7.5"" RIDE HEIGHT) (57977-103 VALVE)",BPW 17.5 STEER AXLE x2 & FIXED x2,,,,,,,,,,BPW 17.5,,,,,235/75R 17.5 HANKOOK ,17.5 x 6.75 ALLOY WHEEL ,,,,,,,,,,,,,,,,,,,HONDA GX200 ENGINE WITH INTERGRATED TANK & PUMP ,
291UBD,4A Deck Widener dropbed - Aust Shorter,2011,TJ Clark,MTE50/11,7A9BP60ABB1001050,1119,,"60,000kg","14,180kg",,"HENDRICKSON HT250US.25 (7.5"" RIDE HEIGHT) (57977-103 VALVE)",BPW 17.5 STEER AXLE x2 & FIXED x2,,,,,,,,,,BPW 17.5,,,65002 & 65003 545mm S-Cam,,235/75R 17.5 HANKOOK ,17.5 x 6.75 ALLOY WHEEL ,,,,,,,,,,,,,,,,,,,HONDA GX200 ENGINE WITH INTERGRATED TANK & PUMP ,
Australia,4A 1/2 Widener - Aust,2011,Millars Transport,MTE51/11,Still drawing,1153,,,N/A,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,4R4 Hydraulic Deck Widener - Aust,2011,Adciv Pty,MTE52/11,7A9BP60ABB1001052,1154,,"60,000kg","14,800kg",BENDIX ,HYDRAULIC ,BPW 17.5 STEER AXLE x2 & FIXED x2,,,,,,,,,,BPW 17.5,,,,24/24,215/75R 17.5 HANKOOK ,17.5 x 6.00 ALLOY WHEEL ,,,,,,ABC04A KIT ,,,,,,,,,,,,,KUBOTA OC60 POWER PACK ,
X77973,4R4 Swing Wide - Aust,2011,Griffith Garage,MTE53/11,7A9MT50ABB1001053,1155,,"50,000kg","16,480kg",BENDIX ,HYDRAULIC ,050342 MTW ALION LOW LOADER AXLE ,,,MTE425,HM218248/10,HM212049/11,46305,MTE214,61120,12.25x7.5,4692 CARLISLE ,4692DFC,152640,60843 & 60844 290mm LONG ,,215/75R 17.5 AEOLUS ,17.5 x 6.00 STEEL WHEEL ,,,,,,ABC04A KIT ,,,,,,,,,,,,,KUBOTA OC60 POWER PACK ,
790QUC (Aust Rego),2R8 Module - Aust (OILY LEG),2011,LCR,MTE54/11,7A9MT50WEB1001054,1019,,"50,000kg","8,420kg",,,MTE Module,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,61120,12.25x5.5,4536 6008-1,4536DFC,152640,4.75 65000 & 65001 ,24/30,,,,,,,,,,,,,,,,,,,,,,
S22M,6A Module Section - NZ (OILY LEG),2011,Multitrans ,MTE55/11,7A9MT15SEB1001055,1152,,"150,000kg",24000,,,MTE Module,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,61120,12.25x5.5,4536 6008-1,4536DFC,152640,4.75 65000 & 65001 ,24/30,,,,,,,,,,,,,,,,,,,,,,
S23M,6A Module Section - NZ (OILY LEG),2011,Multitrans ,MTE56/11,7A9MT15SEB1001056,1152,,"150,000kg",24000,,,MTE Module,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,61120,12.25x5.5,4536 6008-1,4536DFC,152640,4.75 65000 & 65001 ,24/30,,,,,,,,,,,,,,,,,,,,,,
S24M,4A Module Section - NZ (OILY LEG),2011,Multitrans ,MTE57/11,7A9MT10SEB1001057,1152,,"100,000kg",16000,,,MTE Module,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,61120,12.25x5.5,4536 6008-1,4536DFC,152640,4.75 65000 & 65001 ,24/30,,,,,,,,,,,,,,,,,,,,,,
R25M,3A Module Section - NZ (OILY LEG),2011,Multitrans ,MTE58/11,7A9MT75SEB1001058,1152,,"75,000kg",12000,,,MTE Module,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,61120,12.25x5.5,4536 6008-1,4536DFC,152640,4.75 65000 & 65001 ,24/30,,,,,,,,,,,,,,,,,,,,,,
australia,Quade Side Tipping Train - Aust,2011,LCR,MTE59/11,7A9HE75HEB1001059,1157,,"75,000kg",N/A,,,,,,,,,,,,, 4527BD ,,,,,,,,,,,,,,,,,,,,,,,,,,
australia,Quade Side Tipping Train - Aust,2011,LCR,MTE60/11,7A9HE75HEB1001060,1157,,"75,000kg",N/A,,,,,,,,,,,,, 4527BD ,,,,,,,,,,,,,,,,,,,,,,,,,,
australia,Quade Side Tipping Train - Aust,2011,LCR,MTE61/11,7A9HE75HEB1001061,1157,,"75,000kg",N/A,,,,,,,,,,,,, 4527BD ,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Quade Side Tipping Train - Aust,2011,LCR,MTE62/11,7A9HE75HEB1001062,1157,,"75,000kg",N/A,,,,,,,,,,,,, 4527BD ,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Road Train Dolly - Aust,2011,LCR,MTE63/11,7A9HE25HEB1001063,1157,,"50,000kg",N/A,,,,,,,,,,,,, 4527BD ,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Road Train Dolly - Aust,2011,LCR,MTE64/11,7A9HE25HEB1001064,1157,,"50,000kg",N/A,,,,,,,,,,,,, 4527BD ,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Road Train Dolly - Aust,2011,LCR,MTE65/11,7A9HE25HEB1001065,1157,,"50,000kg",N/A,,,,,,,,,,,,, 4527BD ,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,3A Drum Trailer - Aust,2011,Absolute Transport - Andrew Creswick,MTE66/11,7A9MT40ABB1001066,1183,,"40,000kg","12,920kg",PACIFIC (ABC03A) ,HENDRICKSON HT250US-25 AIR SUSPENSION (AKH-236-3 RIDE HEIGHT VALVE) ,"050348 ALION 12.25x7.5 AXLE 77"" TRACK ",,,MTE425,HM218248/10,HM212049/11,46305,MTE214,#061120,12.25x7.5,4692 6008-1,4692DFC,152640,ALION CAMSHAFT 600mm LONG ,30/30,215/75R 17.5 HANKOOK,17.5 x 6.00 ALLOY WHEEL ,,,,,,,,,,,,,,,,,,,KUBOTA D22-EC ENGINE 18.8HP,
S474F,2R8 Dolly - NZ,2011,William Rae,MTE67/11,7A9MT11WEB1001067,1180,,"110,000kg","3,720kg",SEALCO,MTE 2R8 DOLLY SUSPENSION RTT7 RUBBER BUSHES ,060796 ALION LINKWING AXLE,,,MTE425,HM218248/10,HM212049/11,46305,MTE216,#061120,12.25x5.5,4536 6008-1,4536DFC,#061122,"4.75"" LONG 065000 & 065001",30/30,215/75R 17.5 AEOLUS ,17.5 x 6.00 STEEL WHEEL,,,,,,1x 170004 (46L),,,,"JOST JSK38G/1 (3.5"") FULLY OSC",,,,,,,,,JIALI 5.5HP ENGINE WITH INTERGRATED PUMP & TANK,
S235H,3A Simple Trailer - NZ,2011,JSB Construction,MTE68/11,7A9MT23SEB1001068,1169,,"23,000kg","5,540kg",SEALCO,K HITCH FH66 TRIAXLE UNDER SLUNG ,050342 MTW ALION LOW LOADER AXLE ,,,MTE425,HM218248/10,HM212049/11,46305,MTE214,#061120,12.25x7.5,4692 CARLISLE,4692DFC,152640,ALION CAMSHAFT 600mm LONG ,,215/75R 17.5 DOUBLE COIN,17.5 x 6.00 STEEL WHEEL,,,,HOLLAND DB1385 PINTLE,,1x 170004 (46L) - 1x 170004 (24.5L),,,,,,,,,,,,,,
S18M,3R4 Widener - NZ,2011,Rotorua Forest Haulage,MTE69/11,7A9MT40SEB1001069,1181,,"40,000kg",9760,170251 ABS BRAKE KIT ,MTE ROWS OF 4 AIR SUSPENSION GOODYEAR 1R13-039 AIR BAG - 85300 SHOCK,050343 ALION/MTW 19.5 AXLE ,,,MTE408,HM218248/10,HM212049/11,46305,MTE210,062595 CARLISLE ,15.00x8-5/8,4710 CARLISLE ,4710X,#061125,050380 & 050381 (290mm LONG),,DOUBLE COIN 265/70R 19.5 ,550176 19.5x7.50 ALLOY WHEEL,,,,,,,,,,,,,,,,,,,JIALI 5.5HP PETROL POWER PACK WITH BREVINI TANK 25L,
983QTS (Aust Rego),2R8 Dolly - Aust,2011,TJ Clark,MTE70/11,7A9MT11WEB1001070,1197,,"110,000kg",5600kg,PACIFIC,MTE 2R8 DOLLY SUSPENSION RTT7 RUBBER BUSHES ,060796 ALION LINKWING AXLE,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,#061120,12.25x5.5,4536 CARLISLE ,4536DFC,#061122,"4.75"" LONG 065000 & 065001",30/30,215/75R 17.5 HANKOOK,17.5 x 6.00 ALLOY WHEEL ,,,,,,1x 170004 (46L),,,,,,,,,,,,,KUBOTA OC60 POWER PACK ,
011QTO (Aust Rego),2R8 Dolly - Aust,2011,Sailmove,MTE71/11,7A9MT11WEB1001071,1198,,"110,000kg",5600kg,PACIFIC,MTE 2R8 DOLLY SUSPENSION RTT7 RUBBER BUSHES ,060796 ALION LINKWING AXLE,,,MTE425,HM218248/10,HM212049/11,46305,MTE216,#061120,12.25x5.5,4536 CARLISLE ,4536DFC,#061122,"4.75"" LONG 065000 & 065001",30/30,215/75R 17.5 AEOLUS ,17.5 x 6.00 STEEL WHEEL ,,,,,,1x 170004 (46L), ,,,,,,,,,,,,KUBOTA OC60 POWER PACK ,
256QTX (Aust Rego),2R8 Dolly - Aust,2011,LCR,MTE72/11,7A9MT11WEB1001072,1212,,"110,000kg",5820kg,BENDIX,MTE HYDRAULIC SUSPENSION,060796 ALION LINKWING AXLE,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,#061120,12.25x5.5,4536 CARLISLE ,4536DFC,152640,,24/24,215/75R 17.5 AEOLUS ,17.5 x 6.00 ALLOY WHEEL ,,,,,,,,,,"K-HITCH K11D902235 3.5"" ",,,,,,,,,KUBOTA OC60 POWER PACK ,
706QUC (Aust Rego),2R8 Dolly - Aust,2011,Amerock,MTE73/11,7A9MT11WEB1001073,1213,,"110,000kg",5780kg,BENDIX,MTE 2R8 DOLLY SUSPENSION RTT7 RUBBER BUSHES ,060796 ALION LINKWING AXLE,,,MTE425,HM218248/10,HM212049/11,46305,MTE216,#061120,12.25x5.5,4536 CARLISLE ,4536DFC,152640,,30/30,215/75R 17.5 AEOLUS ,17.5 x 6.00 STEEL WHEEL ,,,,,,170004,,,,"K-HITCH K11D902235 3.5"" ",,,,,,,,,KUBOTA OC60 POWER PACK ,
Australia,3A Semi Side Tipper - Aust,2011,LCR,MTE74/11,7A9FU44ABB1001074,1227,,"44,000kg",N/A,ABC03A ADR BRAKE KIT ,K-HITCH KHDO3B9 CAST SUSPENSION ,50377 K-HITCH K22UG15K1850N30 10ST 285 UNITISED,,,,,,,,,,4515 FKH,,,,K-HITCH 30/30,GOODYEAR 295/80R 22.5 MSS,550146 22.5x8.25 STEEL WHEELS 285mm ,,KPBA90/12,,,,,,,,,,,,,,,,,K-HITCH LAND LEG SET KH250002/G,
Australia,3A Semi Side Tipper - Aust,2011,LCR,MTE75/11,7A9FU44ABB1001075,1228,,,N/A,ABC03A ADR BRAKE KIT ,K-HITCH KHDO3B9 CAST SUSPENSION ,50377 K-HITCH K22UG15K1850N30 10ST 285 UNITISED,,,,,,,,,,4515 FKH,,,,K-HITCH 30/30,GOODYEAR 295/80R 22.5 MSS,550146 22.5x8.25 STEEL WHEELS 285mm ,,KPBA90/12,,,,,,,,,,,,,,,,,K-HITCH LAND LEG SET KH250002/G,
T339J,4A Dog Tipper - NZ,2011,ETL-TR242,MTE76/11,7A9MT29SEB1001076,1214,,"29,000kg","6,680kg",BAS4A/2SB/FT TRANSPECS ,K-HITCH FTOS1250/2 (2x TANDEM SUSPENSIONS) OVER SLUNG ,050344 MTW/ALION AXLE 19.5,,,MTE408,HM218248/10,HM212049/11,46305,MTE210,062595 CARLISLE ,15.00x8-5/8,4710 CARLISLE ,4710X,#061125,,,AEOLUS 235/70R 19.5 HN805,550176 19.5x7.50 ALLOY WHEEL,,,,MTE 40-50mm INTERCHANGE,,2x 170004 46L,EDBRO RBNCS13OE464,,,BALLRACE DK90/20,,,,,,,,,,
Australia,6R8 Module - Aust (OILY LEG),2011,3rd Generation Trucking ,MTE77/11,7A9MT15WEB1001077,1253,,"150,000kg",N/A,BENDIX ,MTE MODULE SUSPENSION ,MTE MODULE AXLE STUB,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,#061120,12.25x5.5,4536 CARLISLE ,4536DFC,#061122,"4.75"" LONG 065000 & 065001",30/30,MICHELIN 215/75R 17.5 XTE2,17.5 x 6.00 ALLOY WHEEL ,,,,,,MTE MADE AIR TANKS ,,,,,,,,,,,,,,
S159L,2R8 Dolly - NZ,2011,Reid,MTE78/11,7A9MT11WEB1001078,1252,,"110,000kg",4540,SEALCO,MTE 2R8 DOLLY SUSPENSION RTT7 RUBBER BUSHES ,060796 ALION LINKWING AXLE,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,#061120,12.25x5.5,4536 CARLISLE ,4536DFC,152640,"4.75"" LONG 065000 & 065001",30/30,215/75R 17.5 AEOLUS ,17.5 x 6.00 ALLOY WHEEL ,,,,,,170004,,,,"JOST JSK38G-1 3.5"" FULLY OSC",,,,,,,,,,
,2R8 Dolly - NZ,2011,McIntosh - Chassis,MTE79/11,7A9MT11WEB1001079,1256,,"110,000kg",N/A,,,,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,61120,12.25x5.5,4536 6008-1,4536DFC,152640,"4.75"" LONG 065000 & 065001",30/30,,,,,,,,,,,,,,,,,,,,,,
S33M,2R8 Dolly - NZ,2011,Jackson,MTE80/11,7A9MT11WEB1001080,1257,,"110,000kg",3620,SEALCO,MTE 2R8 DOLLY SUSPENSION RTT7 RUBBER BUSHES ,060796 ALION LINKWING AXLE,,,MTE425,HM218248/10,HM212049/11,46305,MTE216,#061120,12.25x5.5,4536 6008-1,4536DFC,152640,"4.75"" LONG 065000 & 065001",30/30,215/75R 17.5 AEOLUS ,17.5 x 6.00 ALLOY WHEEL ,,,,,,170004,,,,"K-HITCH K11D902235 3.5"" ",,,,,,,,,,
T340J,2R8 Dolly - NZ,2011,G C Smith,MTE81/11,7A9MT11WEB1001081,1260,,"110,000kg",4540kg,SEALCO,MTE 2R8 DOLLY SUSPENSION RTT7 RUBBER BUSHES ,060796 ALION LINKWING AXLE,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,#061120,12.25x5.5,4536 6008-1,4536DFC,152640,"4.75"" LONG 065000 & 065001",30/30,215/75R 17.5 AEOLUS ,17.5 x 6.00 ALLOY WHEEL ,,,,,,170004 - 46L,,,,"JOST JSK38G-1 3.5"" FULLY OSC",,,,,,,,,,
S157L,3 A House Trailer -NZ,2011,Jackson,MTE82/11,7A9MT40ABB1001082,1265,,"40,000kg",13060,,,50342-MTE,,,MTE425,HM218248/10,HM212049/11,46305,MTE214,61120,12.25x7.5,4692 AL,4692DFC,152640,545mm ,24/30,,,,,,,,,,,,,,,,,,,,,,
,2R8 Dolly - Aust ,2011,3rd Generation Trucking ,MTE83/11,7A9M11WEB1001083,1295,,"110,000kg",N/A,PACIFIC ,MTE 2R8 DOLLY SUSPENSION RTT7 RUBBER BUSHES ,060796 ALION LINKWING AXLE,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,#061120,12.25x5.5,4536 6008-1,4536DFC,152640,"4.75"" LONG 065000 & 065001",30/30,AEOLUS 215/75R 17.5 HN235,17.5 x 6.00 ALLOY WHEEL ,,,,,,170004 - 46L,,,,"K-HITCH K11D902235 3.5"" ",,,,,,,,,KUBOTA OC60 ENGINE - CENTURY BATTERY NS60LSMF,
954QUE (Aust Rego),5R8A LW1 AUST / IHN / HS / HD,2011,MTE leasing to Dan Phillips,MTE84/11,7A9MT11MTB1001084,1304,,"110,000kg","20,180kg",PACIFIC ,MTE HYDRAULIC LINKWING SUSPENSION ,060796 ALION LINKWING AXLE,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,#061120,12.25x5.5,4536 6008-1,4536DFC,152640,"4.75"" LONG 065000 & 065001",24/24,215/75R 17.5 HANKOOK,17.5 x 6.00 ALLOY WHEEL ,,,,,,10x 170008 (22x10),,,,,,,,,,,,,KUBOTA OC60 ENGINE - CENTURY BATTERY NS60LSMF,
,3R8S LW1 / IHN / BS / S,2011,Smith Cranes,MTE85/11,7A9MT80SEB1001085,1278,,"80,000kg",N/A,,,,,,,,,,,,,4536 6008-1,4536DFC,,,,,,,,,,,,,,,,,,,,,,,,,
,1R8 Clip-on - NZ,2011,Smith Cranes,MTE86/11,7A9MT15SEB1001086,1278,,"15,000kg",N/A,PACIFIC ,MTE MODULE SUSPENSION ,,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,#061120,12.25x5.5,4536 6008-1,4536DFC,152640,"4.75"" LONG 065000 & 065001",30/30,MICHELIN 215/75R 17.XTE2,550043 17.5x6.00 STEEL WHEEL ,,,,,,10x 170008 (22x10),,,,,,,,,,,,,KUBOTA D722 POWER PACK MOTOR - COMBINATION FUEL & OIL TANK 110450,
292UBD,6R8 Ex Spin Module  - Aust (OILY LEG),2011,Louie Dean,MTE87/11,7A9MT15WEB1001087,1306,,"150,000kg",37940,,,MODULE STUB AXLE ,,,,,,,,,,4536 6008-1,4536DFC,,,,,,,,,,,,,,,,,,,,,,,,,
S872N,4FTLL - NZ,2011,Fulton Hogan,MTE88/11,7A9MT29SEB1001088,1277,,"29,000kg",6380,ABS4A/2SB/FT TRANSPECS ,K-HITCH FH66 TANDEM OVER SLUNG & TANDEM UNDER SLUNG SUSPENSION ,"050342 ALION/MTW 17.5 AXLE 71""",,,MTE425,HM218248/10,HM212049/11,46305,MTE214,61120,12.25x7.5 ,4692 CARLISLE ,4692DFC,152640,,K-HITCH 24/30,AEOLUS 215/75R 17.5 HN235,550043 17.5x6.00 STEEL WHEEL ,,,,40mm WELD ON TOW EYE,,1x 170004 46L -2x 170014 24.5L,,,,BALLRACE DK90/14,,,,,,,,,VB950 TOOL BOX,
789QUC (Aust Rego),4R4 Jinker - Aust,2011,McAleese,MTE89/11,7A9FU40SEB1001089,1294,,"40,000kg","6,180kg",ABC22A ADR BRAKE KIT ,K-HITCH FH66 TANDEM UNDER SLUNG SUSPENSION TRA2740 SPRINGS ,"050348 MTW/ALION AXLE 77"" TRACK 17.5",,,MTE425,HM218248/10,HM212049/11,46305,MTE214,61120,12.25x7.5 ,4692 CARLISLE ,4692DFC,152640,,K-HITCH 30/30,MICHELIN 235/75R 17.5 XTE2,550042 17.5x6.75 STEEL WHEEL ,,,,50mm WELD ON TOW EYE ,,,,,,1x SRSR1000/60 - 2x KHDR1000,,,,,,,,,KUBOTA OC60 POWER PACK MOTOR - PL0925-370 DARK BLUE MUD GUARDS,
860QUN,4R4 Widener - Aust,2011,MTE Leasing to Dan Phillips,MTE90/11,7A9MT50ABB1001090,1305,,"50,000kg","15,640kg",ABC04W ADR BRAKE KIT,MTE ROWS OF 4 HYDRAULIC SUSPENSION ,50343 ALION/MTW 19.5 AXLE ,,,MTE408,HM218248/10,HM212049/11,46305,MTE210,062595 CARLISLE ,15.00x8-5/8,4710 FEDERAL MOGUL ,4710X,#061125,050380 & 050381 (290mm LONG),K-HITCH 30/30,AEOLUS 265/70R 19.5 HN805,550176.19.5x7.50 ALLOY WHEEL,,,,,,,,,,,,,,,,,,,KUBOTA OC60 POWER PACK MOTOR ,
,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
554QUM,4R8A LW1 AUST / IHN / HS / HD ,2012,Dan Phillips(HHA Group),MTE01/12,7A9MT11WEC1001001,1360,,"110,000kg","18,880kg",PACIFIC ,MTE HYDRAULIC LINKWING SUSPENSION ,060796 MTE LINKWING AXLE ,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,61120,12.25x5.5,4536 FEDERAL MOGUL,4536DFC,#061122,"65000 & 65001 4.75"" LONG ",K-HITCH 24/24,HANKOOK 215/75R 17.5 TH10,550252 17.5x6.00 ALLOY WHEEL ,,,,,,2x 170004 46L - 1x 170009 10X8 - 1x 170008 22X10,,,,,,,,,,,,,KUBOTA OC60 POWER PACK MOTOR - STAINLESS WATER TANK,
,4R8S LW1 AUST / IHN / HS / S ,2012,Stock,MTE02/12,7A9MT11WEC1001002,1464,,"110,000kg",N/A,PACIFIC ,MTE HYDRAULIC LINKWING SUSPENSION ,060796 MTE LINKWING AXLE ,,,MTE425,HM218248/10,HM212049/11,46305,MTE216,61120,12.25x5.5,4536 FEDERAL MOGUL,4536DFC,#061122,"65000 & 65001 4.75"" LONG ",K-HITCH 24/24,AEOLUS 215/75R 17.5 HN235,550043 17.5x6.00 STEEL WHEEL ,,,C-006-2044-13-01,,,10x 170008 (22x10) -  1x 170009 10X8,,,,,,,,,,,,,KUBOTA OC60 POWER PACK MOTOR - PLASTIC WATER TANK,
543QUM,2R8 Dolly - Aust,2012,Dan Phillips,MTE03/12,7A9MT11WEC1001003,1362,,"110,000kg","5,700kg",PACIFIC,MTE 2R8 DOLLY SUSPESION,060796 MTE LINKWING AXLE ,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,61120,12.25x5.5,4536 FEDERAL MOGUL,4536DFC,#061122,"65000 & 65001 4.75"" LONG ",K-HITCH 30/30,HANKOOK 215/75R 17.5 TH10,550252 17.5x6.00 ALLOY WHEEL ,,,,,,1x 170004 46L ,,,,"K-HITCH KA11D902235 (3.5"") SEMI OSC",,,,,,,,,KUBOTA OC60 POWER PACK MOTOR - PL0925-370 DARK BLUE MUD GUARDS,
124QVK,2R8 Dolly - Aust,2012,MTE (Centurion Leasing),MTE04/12,7A9MT11WEC1001004,1363,,"110,000kg","5,920kg",PACIFIC,MTE 2R8 DOLLY SUSPESION,060796 MTE LINKWING AXLE ,,,MTE425,HM218248/10,HM212049/11,46305,MTE216,61120,12.25x5.5,4536 FEDERAL MOGUL,4536DFC,#061122,"65000 & 65001 4.75"" LONG ",K-HITCH 30/30,AEOLUS 215/75R 17.5 HN235,550043 17.5x6.00 STEEL WHEEL ,,,,,,1x 170004 46L ,,N/A,,,,,,,,,,,PL0925-326 BLUE MUD GUARDS,
05AHL,4R4 Jinker - Aust,2012,Miers,MTE05/12,7A9FU40SEC1001005,1364,,"40,000kg","6,360kg",ABC22A ADR BRAKE KIT ,K-HITCH FH66 TANDEM UNDER SLUNG SUSPENSION TRA2740 SPRINGS ,"050348 MTW/ALION AXLE 77"" TRACK 17.5",,,MTE425,HM218248/10,HM212049/11,46305,MTE214,61120,12.25x7.5,4692 FEDERAL MOGUL,4692DFC,#061122,,K-HITCH 30/30,BRIDGESTONE 235/75R 17.5,550042 17.5x6.75 STEEL WHEEL ,,,,50mm WELD ON TOW EYE ,,,,,,1x SRSR1000/60 - 2x KHDR1000,,,,,,,,,KUBOTA OC60 POWER PACK MOTOR,
Z-81757,5R8A LW1 AUST / IHN / HS / S / ,2012,John Howard,MTE06/12,7A9MT11MTC1001006,1510,,"110,000kg","20,480kg",,,,,,,,,,,,,4536 6008-1,4536DFC,,,,,,,,,,,,,,,,,,,,,,,,,
581QUY,3R4 Drop neck Ext - Aust,2012,Dan Phillips,MTE07/12,7A9MT40WEC1001007,1379,,"40,000kg","10,840kg",ABK3857ST ADR BRAKE KIT ,K-HITCH KT250U-7.5 AIR SUSPENSION ,"050348 MTW/ALION AXLE 77"" TRACK 17.5",,,MTE425,HM218248/10,HM212049/11,46305,MTE214,61120,12.25x7.5,4692 FEDERAL MOGUL,4692DFC,#061122,,K-HITCH 30/30,AEOLUS 215/75R 17.5 HN235,550252 17.5x6.00 ALLOY WHEEL ,,KPBA50/10,,,,,,,,,,,,,,,,,WABCO RAISE & LOWER VALVE 463/032/020/0,
5B908,3R4 Drop neck Ext - Aust,2012,Dan Phillips,MTE08/12,7A9MT40WEC1001008,1380,,"40,000kg","10,840kg",ABK3857ST ADR BRAKE KIT ,K-HITCH KT250U-7.5 AIR SUSPENSION ,"050348 MTW/ALION AXLE 77"" TRACK 17.5",,,MTE425,HM218248/10,HM212049/11,46305,MTE214,61120,12.25x7.5,4692 FEDERAL MOGUL,4692DFC,#061122,,K-HITCH 30/30,AEOLUS 215/75R 17.5 HN235,550252 17.5x6.00 ALLOY WHEEL ,,KPBA50/10,,,,,,,,,,,,,,,,,WABCO RAISE & LOWER VALVE 463/032/020/0,
,3R8S LW1 Aust /EX / IHN / HS /DF,2012,Dalby (F.R.E services),MTE09/12,7A9MT80WEC1001009,1381,,"80,000kg","16,780kg",PACIFIC,MTE HYDRAULIC LINKWING SUSPENSION ,060796 MTE LINKWING AXLE ,,,MTE425,HM218248/10,HM212049/11,46305,MTE213,61120,12.25x5.5 ,4536 FEDERAL MOGUL,4536DFC,#061122,"65000 & 65001 4.75"" LONG ",K-HITCH 24/24,AEOLUS 215/75R 17.5 HN235,550252 17.5x6.00 ALLOY WHEEL ,,,,,,2x 170024 49L - 4x 170009 10X8,,,,,,,,,,,,,KUBOTA OC60 POWER PACK MOTOR,
,3R8S LW1  Aust / DB / EX / IHN / HS /DF,2012,Millars,MTE10/12,7A9MT80WEC1001010,1382,,"80,000kg",N/A,,,,,,,,,,,,,4536 6008-1,4536DFC,,,,,,,,,,,,,,,,,,,,,,,,,
T662E,3A Simple Trailer - NZ,2012,Storm Contracting,MTE11/12,7A9MT23BEC1001011,1383,,"23,000kg","4,440kg",MTWABS3A/2SB/FS KIT ,K-HITCH FH66 TRI-AXLE UNDER SLUNG SUSPENSION TRA2726 & 032900 SPRINGS ,"050342 ALION/MTW 17.5 AXLE 71""",,,MTE425,HM218248/10,HM212049/11,46305,MTE214,61120,12.25x7.5,4692 FEDERAL MOGUL,4692DFC,#061122,,K-HITCH 24/30,BRIDGESTONE 215/75R 17.5,550252 17.5x6.00 ALLOY WHEEL ,,,,HOLLAND DB1385 PINTLE EYE,,1x 170004 46L -1x 170014 24.5L,,,,,,,,,,,,,CP45 LAND LEG,
T307B,3A Simple Trailer - NZ,2012,Paul Sorrenson,MTE12/12,7A9MT23BEC1001012,1384,,"23,000kg","4,740kg",MTWABS3A/2SB/FS KIT ,K-HITCH FH66 TRI-AXLE UNDER SLUNG SUSPENSION TRA2726 & 032900 SPRINGS ,"050342 ALION/MTW 17.5 AXLE 71""",,,MTE425,HM218248/10,HM212049/11,46305,MTE214,61120,12.25x7.5,4692 FEDERAL MOGUL,4692DFC,#061122,,K-HITCH 24/30,BRIDGESTONE 215/75R 17.5,550252 17.5x6.00 ALLOY WHEEL ,,,,HOLLAND DB1385 PINTLE EYE,,1x 170004 46L -1x 170014 24.5L,,,,,,,,,,,,,CP45 LAND LEG,
